origin,destination,total
2000,2043,85
2000,2018,175
2000,2023,247
2000,2037,378
2000,2000,257
2000,2024,268
2000,2022,274
2000,2017,132
2000,2021,348
2000,2011,353
2000,2025,229
2000,2010,353
2000,2036,586
2000,2028,130
2000,2031,694
2000,2026,584
2000,2033,160
2000,2016,187
2000,2008,79
2000,2032,246
2000,2029,264
2000,2007,72
2000,2015,123
2000,2009,195
2000,2035,632
2000,2020,128
2000,2019,126
2000,2034,429
2000,2030,429
2006,2191,97
2006,2049,224
2006,2048,133
2006,2137,554
2006,2044,104
2006,2193,273
2006,2132,254
2006,2042,297
2006,2206,375
2006,2046,612
2006,2039,227
2006,2040,477
2006,2130,183
2006,2195,184
2006,2134,184
2006,2041,534
2006,2194,229
2006,2038,215
2006,2006,3
2006,2203,232
2006,2204,378
2006,2045,199
2006,2131,340
2006,2050,91
2007,2021,348
2007,2000,257
2007,2008,79
2007,2033,160
2007,2010,353
2007,2032,246
2007,2030,429
2007,2020,128
2007,2017,132
2007,2022,274
2007,2011,353
2007,2007,72
2007,2043,85
2007,2024,268
2007,2036,586
2007,2023,247
2007,2037,378
2007,2015,123
2007,2009,195
2007,2034,429
2007,2029,264
2007,2026,584
2007,2031,694
2007,2016,187
2007,2035,632
2008,2010,353
2008,2015,123
2008,2020,128
2008,2030,429
2008,2000,257
2008,2017,132
2008,2009,195
2008,2016,187
2008,2043,85
2008,2034,429
2008,2008,79
2008,2007,72
2008,2023,247
2008,2036,586
2008,2035,632
2008,2037,378
2008,2021,348
2009,2011,353
2009,2010,353
2009,2008,79
2009,2031,694
2009,2000,257
2009,2007,72
2009,2016,187
2009,2037,378
2009,2009,195
2010,2016,187
2010,2026,584
2010,2015,123
2010,2000,257
2010,2028,130
2010,2023,247
2010,2017,132
2010,2032,246
2010,2024,268
2010,2020,128
2010,2011,353
2010,2008,79
2010,2010,353
2010,2036,586
2010,2029,264
2010,2022,274
2010,2007,72
2010,2037,378
2010,2025,229
2010,2033,160
2010,2018,175
2010,2021,348
2010,2009,195
2010,2019,126
2010,2030,429
2010,2043,85
2010,2034,429
2010,2035,632
2010,2031,694
2011,2032,246
2011,2015,123
2011,2018,175
2011,2037,378
2011,2010,353
2011,2017,132
2011,2025,229
2011,2030,429
2011,2000,257
2011,2024,268
2011,2033,160
2011,2026,584
2011,2035,632
2011,2034,429
2011,2028,130
2011,2022,274
2011,2036,586
2011,2021,348
2011,2007,72
2011,2016,187
2011,2009,195
2011,2029,264
2011,2031,694
2011,2011,353
2011,2023,247
2015,2031,694
2015,2025,229
2015,2015,123
2015,2032,246
2015,2017,132
2015,2035,632
2015,2043,85
2015,2033,160
2015,2023,247
2016,2037,378
2016,2011,353
2016,2034,429
2016,2026,584
2016,2028,130
2016,2035,632
2016,2018,175
2016,2015,123
2016,2043,85
2016,2036,586
2016,2009,195
2016,2033,160
2016,2008,79
2016,2024,268
2016,2025,229
2016,2021,348
2016,2007,72
2016,2000,257
2016,2032,246
2016,2016,187
2016,2010,353
2016,2017,132
2016,2031,694
2017,2016,187
2017,2019,126
2017,2018,175
2017,2029,264
2017,2026,584
2017,2035,632
2017,2023,247
2017,2034,429
2017,2010,353
2017,2033,160
2017,2008,79
2017,2036,586
2017,2037,378
2017,2020,128
2017,2043,85
2017,2007,72
2017,2021,348
2017,2017,132
2017,2015,123
2017,2031,694
2017,2000,257
2017,2025,229
2017,2011,353
2017,2032,246
2017,2009,195
2018,2032,246
2018,2019,126
2018,2017,132
2018,2036,586
2018,2021,348
2018,2026,584
2018,2034,429
2018,2015,123
2018,2030,429
2018,2035,632
2018,2022,274
2018,2018,175
2018,2037,378
2018,2020,128
2018,2031,694
2018,2025,229
2018,2033,160
2019,2024,268
2019,2019,126
2019,2026,584
2019,2032,246
2019,2035,632
2019,2033,160
2019,2023,247
2019,2011,353
2019,2036,586
2019,2017,132
2019,2020,128
2019,2034,429
2019,2018,175
2019,2015,123
2019,2031,694
2019,2010,353
2020,2037,378
2020,2016,187
2020,2033,160
2020,2034,429
2020,2032,246
2020,2011,353
2020,2017,132
2020,2036,586
2020,2020,128
2020,2025,229
2020,2015,123
2020,2021,348
2020,2026,584
2020,2022,274
2020,2029,264
2020,2035,632
2020,2010,353
2020,2019,126
2020,2007,72
2020,2023,247
2020,2031,694
2020,2018,175
2021,2033,160
2021,2009,195
2021,2028,130
2021,2029,264
2021,2036,586
2021,2031,694
2021,2024,268
2021,2011,353
2021,2034,429
2021,2010,353
2021,2015,123
2021,2026,584
2021,2025,229
2021,2035,632
2021,2019,126
2021,2043,85
2021,2030,429
2021,2016,187
2021,2021,348
2021,2000,257
2021,2022,274
2021,2023,247
2021,2018,175
2022,2026,584
2022,2007,72
2022,2024,268
2022,2032,246
2022,2029,264
2022,2033,160
2022,2022,274
2022,2017,132
2022,2036,586
2022,2008,79
2022,2030,429
2022,2025,229
2022,2010,353
2022,2020,128
2022,2031,694
2022,2037,378
2022,2016,187
2022,2028,130
2022,2035,632
2022,2034,429
2022,2023,247
2022,2021,348
2022,2019,126
2022,2043,85
2022,2000,257
2022,2011,353
2022,2009,195
2022,2015,123
2022,2018,175
2023,2022,274
2023,2029,264
2023,2023,247
2023,2026,584
2023,2031,694
2023,2021,348
2023,2025,229
2023,2036,586
2023,2030,429
2023,2016,187
2024,2030,429
2024,2024,268
2024,2032,246
2024,2035,632
2024,2031,694
2024,2009,195
2024,2023,247
2024,2021,348
2024,2034,429
2024,2010,353
2024,2025,229
2024,2022,274
2024,2028,130
2024,2033,160
2024,2029,264
2024,2011,353
2024,2026,584
2024,2018,175
2024,2036,586
2025,2028,130
2025,2031,694
2025,2035,632
2025,2024,268
2025,2032,246
2025,2016,187
2025,2023,247
2025,2021,348
2025,2026,584
2025,2043,85
2025,2029,264
2025,2034,429
2025,2011,353
2025,2010,353
2025,2017,132
2025,2009,195
2025,2015,123
2025,2033,160
2025,2036,586
2025,2022,274
2025,2030,429
2025,2025,229
2026,2008,79
2026,2017,132
2026,2023,247
2026,2022,274
2026,2000,257
2026,2032,246
2026,2037,378
2026,2010,353
2026,2034,429
2026,2029,264
2026,2035,632
2026,2021,348
2026,2016,187
2026,2036,586
2026,2015,123
2026,2026,584
2026,2031,694
2026,2019,126
2026,2020,128
2026,2024,268
2026,2028,130
2026,2033,160
2026,2030,429
2026,2025,229
2026,2009,195
2026,2018,175
2026,2011,353
2027,2027,291
2027,2230,1665
2028,2025,229
2028,2030,429
2028,2031,694
2028,2029,264
2028,2011,353
2028,2026,584
2028,2028,130
2028,2009,195
2028,2015,123
2028,2016,187
2028,2034,429
2028,2022,274
2028,2024,268
2028,2033,160
2028,2037,378
2028,2021,348
2028,2010,353
2028,2000,257
2028,2023,247
2029,2029,264
2029,2032,246
2029,2036,586
2029,2016,187
2029,2025,229
2029,2030,429
2029,2024,268
2029,2021,348
2029,2007,72
2029,2033,160
2029,2000,257
2029,2026,584
2029,2023,247
2029,2015,123
2029,2009,195
2029,2035,632
2029,2028,130
2029,2022,274
2029,2034,429
2029,2031,694
2029,2011,353
2030,2010,353
2030,2035,632
2030,2022,274
2030,2024,268
2030,2029,264
2030,2018,175
2030,2036,586
2030,2043,85
2030,2026,584
2030,2017,132
2030,2011,353
2030,2028,130
2030,2030,429
2030,2033,160
2031,2028,130
2031,2024,268
2031,2030,429
2031,2036,586
2031,2032,246
2031,2017,132
2031,2000,257
2031,2023,247
2031,2033,160
2031,2021,348
2031,2037,378
2031,2007,72
2031,2010,353
2031,2031,694
2031,2022,274
2031,2008,79
2031,2011,353
2031,2020,128
2031,2019,126
2031,2029,264
2031,2015,123
2031,2034,429
2031,2025,229
2031,2018,175
2031,2035,632
2031,2016,187
2031,2026,584
2031,2009,195
2032,2010,353
2032,2015,123
2032,2019,126
2032,2036,586
2032,2011,353
2032,2026,584
2032,2030,429
2032,2021,348
2032,2000,257
2032,2034,429
2032,2018,175
2032,2023,247
2032,2009,195
2032,2022,274
2032,2035,632
2032,2037,378
2032,2020,128
2032,2031,694
2032,2033,160
2032,2024,268
2032,2017,132
2032,2028,130
2032,2032,246
2032,2016,187
2033,2030,429
2033,2018,175
2033,2029,264
2033,2036,586
2033,2037,378
2033,2032,246
2033,2034,429
2033,2021,348
2033,2033,160
2033,2011,353
2033,2010,353
2033,2031,694
2033,2025,229
2033,2017,132
2033,2043,85
2033,2020,128
2033,2019,126
2033,2015,123
2033,2024,268
2033,2035,632
2033,2008,79
2033,2028,130
2033,2022,274
2033,2000,257
2033,2023,247
2033,2026,584
2034,2026,584
2034,2030,429
2034,2010,353
2034,2019,126
2034,2033,160
2034,2025,229
2034,2015,123
2034,2029,264
2034,2034,429
2034,2008,79
2034,2000,257
2034,2017,132
2034,2024,268
2034,2037,378
2034,2018,175
2034,2022,274
2034,2020,128
2034,2031,694
2034,2011,353
2034,2016,187
2034,2043,85
2034,2021,348
2034,2035,632
2034,2032,246
2034,2036,586
2034,2023,247
2035,2024,268
2035,2023,247
2035,2018,175
2035,2000,257
2035,2020,128
2035,2036,586
2035,2037,378
2035,2021,348
2035,2030,429
2035,2011,353
2035,2033,160
2035,2032,246
2035,2034,429
2035,2015,123
2035,2007,72
2035,2016,187
2035,2025,229
2035,2031,694
2035,2029,264
2035,2035,632
2035,2019,126
2035,2010,353
2035,2009,195
2035,2026,584
2035,2022,274
2035,2017,132
2036,2030,429
2036,2021,348
2036,2033,160
2036,2016,187
2036,2035,632
2036,2034,429
2036,2032,246
2036,2028,130
2036,2000,257
2036,2018,175
2036,2011,353
2036,2017,132
2036,2031,694
2036,2029,264
2036,2010,353
2036,2019,126
2036,2020,128
2036,2025,229
2036,2036,586
2036,2022,274
2036,2026,584
2037,2022,274
2037,2028,130
2037,2021,348
2037,2007,72
2037,2037,378
2037,2015,123
2037,2031,694
2037,2029,264
2037,2011,353
2037,2010,353
2037,2009,195
2037,2025,229
2037,2023,247
2037,2008,79
