Code,Name,East,North
2000,2000,9689841.73610000000,4424037.45380000000
2006,2006,9687819.22051000000,4421946.98627000000
2007,2007,9688863.35364000000,4422726.00812000000
2008,2008,9688712.54008000000,4421835.57555000000
2009,2009,9688500.62341000000,4423989.35927000000
2010,2010,9690424.34330000000,4422408.69186000000
2011,2011,9691324.68093000000,4423758.35469000000
2015,2015,9688293.85743000000,4419647.38527000000
2016,2016,9689609.28085000000,4421269.81992000000
2017,2017,9689678.11817000000,4420163.41866000000
2018,2018,9689698.54883000000,4417558.02802000000
2019,2019,9689480.11307000000,4414679.24896000000
2020,2020,9687136.19333000000,4416131.50831000000
2021,2021,9691610.41841000000,4421198.76009000000
2022,2022,9693547.23168000000,4420811.66127000000
2023,2023,9694200.80246000000,4422467.45128000000
2024,2024,9694652.71441000000,4419950.14490000000
2025,2025,9693069.06880000000,4421840.77972000000
2026,2026,9695708.58869000000,4421440.84887000000
2027,2027,9692919.50458000000,4423485.49767000000
2028,2028,9693094.73391000000,4422836.64986000000
2029,2029,9695494.82815000000,4423183.59774000000
2030,2030,9696414.42124000000,4424971.78240000000
2031,2031,9692968.73541000000,4418708.08607000000
2032,2032,9691485.57834000000,4417556.80785000000
2033,2033,9690683.72418000000,4419052.78600000000
2034,2034,9693913.57318000000,4417617.88148000000
2035,2035,9692420.53732000000,4415618.50648000000
2036,2036,9692278.97869000000,4412520.42042000000
2037,2037,9687695.02826000000,4422932.72312000000
2038,2038,9686398.38621000000,4422754.29166000000
2039,2039,9686646.35789000000,4424685.23365000000
2040,2040,9685154.74029000000,4423208.52597000000
2041,2041,9687482.80076000000,4425413.66653000000
2042,2042,9686894.82888000000,4420719.63726000000
2043,2043,9687644.38098000000,4420294.06802000000
2044,2044,9686052.71895000000,4418373.73492000000
2045,2045,9683507.19332000000,4423183.42637000000
2046,2046,9682848.78792000000,4425101.83592000000
2047,2047,9684800.76643000000,4425956.96542000000
2048,2048,9685867.68050000000,4421417.13256000000
2049,2049,9684565.39799000000,4421263.66740000000
2050,2050,9686893.52283000000,4421798.19555000000
2052,2052,9691724.96051000000,4418483.52130000000
2060,2060,9689689.01512000000,4427270.14930000000
2061,2061,9690539.78397000000,4426307.18593000000
2062,2062,9690608.55547000000,4429080.32317000000
2063,2063,9691006.58142000000,4430345.87521000000
2064,2064,9688063.72253000000,4430414.13801000000
2065,2065,9688757.10445000000,4428742.19842000000
2066,2066,9685791.19622000000,4429941.64254000000
2067,2067,9687363.05188000000,4432119.97881000000
2068,2068,9690168.25244000000,4431633.82377000000
2069,2069,9689007.60262000000,4433560.15240000000
2070,2070,9686714.14411000000,4434377.27138000000
2071,2071,9686490.91516000000,4435863.03423000000
2072,2072,9685247.37646000000,4436702.98643000000
2073,2073,9683714.09256000000,4437217.39709000000
2074,2074,9684052.09527000000,4441636.62113000000
2075,2075,9687007.03853000000,4440511.42691000000
2076,2076,9681918.09226000000,4441203.57616000000
2077,2077,9680653.80600000000,4445491.11694000000
2079,2079,9682043.66454000000,4446988.70481000000
2080,2080,9684028.27626000000,4447759.03845000000
2082,2082,9679828.98027000000,4462393.25584000000
2083,2083,9687532.56628000000,4457737.72385000000
2084,2084,9691064.62084000000,4446059.76014000000
2085,2085,9690165.98360000000,4439789.58292000000
2086,2086,9691755.15450000000,4437294.67913000000
2087,2087,9690990.54857000000,4435289.87330000000
2088,2088,9693400.81112000000,4428243.35369000000
2089,2089,9690981.45305000000,4427571.81927000000
2090,2090,9691714.21704000000,4428230.31429000000
2092,2092,9693301.83284000000,4432358.27462000000
2093,2093,9695118.08160000000,4432070.77221000000
2094,2094,9696273.84440000000,4431872.06388000000
2095,2095,9697750.86413000000,4430839.16356000000
2096,2096,9697463.34674000000,4434187.53815000000
2097,2097,9698435.46162000000,4438586.78537000000
2099,2099,9696635.40612000000,4437867.22089000000
2101,2101,9696790.96951000000,4443626.05813000000
2102,2102,9698695.81287000000,4443659.66682000000
2103,2103,9699427.16821000000,4445070.52929000000
2104,2104,9698450.61726000000,4446607.19643000000
2105,2105,9697851.89050000000,4448150.39858000000
2106,2106,9700716.60523000000,4447136.70206000000
2107,2107,9701615.87176000000,4449829.17206000000
2108,2108,9696354.55189000000,4452029.38908000000
2109,2109,9681379.92690000000,4434826.94235000000
2110,2110,9684525.67568000000,4428270.51052000000
2111,2111,9682603.87857000000,4428502.29145000000
2112,2112,9680998.96125000000,4430611.31491000000
2113,2113,9683058.25315000000,4432758.07073000000
2114,2114,9678502.49237000000,4431168.89539000000
2115,2115,9676343.19781000000,4430834.69397000000
2116,2116,9674609.05027000000,4430751.76796000000
2117,2117,9674596.39099000000,4432630.04500000000
2118,2118,9675135.85404000000,4434842.72514000000
2119,2119,9677072.42181000000,4437160.31726000000
2120,2120,9678128.39005000000,4440156.64820000000
2121,2121,9678467.94950000000,4435452.62995000000
2122,2122,9679621.73636000000,4433922.56047000000
2125,2125,9674156.75084000000,4437928.70439000000
2126,2126,9675435.19935000000,4440813.46536000000
2127,2127,9676915.30848000000,4427642.59461000000
2128,2128,9675102.83709000000,4428437.12941000000
2129,2129,9677228.82975000000,4425128.57153000000
2130,2130,9683237.05534000000,4421604.41376000000
2131,2131,9682206.27203000000,4422005.05562000000
2132,2132,9681230.28782000000,4422993.19751000000
2133,2133,9680013.81552000000,4421172.12836000000
2134,2134,9680156.98098000000,4423281.76895000000
2135,2135,9678119.05786000000,4423302.47479000000
2136,2136,9678144.77979000000,4421625.32524000000
2137,2137,9680229.08384000000,4425853.00535000000
2138,2138,9678799.80463000000,4427511.45700000000
2139,2139,9679614.80712000000,4427755.17102000000
2141,2141,9674879.75866000000,4424596.13904000000
2142,2142,9672387.04795000000,4428324.01515000000
2143,2143,9672933.75896000000,4422394.21090000000
2144,2144,9673018.66839000000,4426138.12904000000
2145,2145,9666509.92193000000,4430829.51038000000
2146,2146,9666529.11547000000,4433592.64471000000
2147,2147,9665107.59815000000,4436061.65270000000
2148,2148,9661843.24471000000,4435416.57114000000
2150,2150,9671504.43031000000,4430613.45934000000
2151,2151,9672252.27082000000,4434018.81643000000
2152,2152,9670379.77574000000,4433755.41513000000
2153,2153,9668778.09893000000,4437340.40235000000
2154,2154,9671122.82911000000,4440280.97699000000
2155,2155,9665627.20320000000,4444237.67344000000
2156,2156,9668815.23695000000,4448741.68143000000
2157,2157,9672759.59013000000,4461125.01478000000
2158,2158,9674665.48875000000,4446004.13042000000
2159,2159,9677677.78367000000,4451188.42079000000
2160,2160,9669099.88813000000,4428317.02835000000
2161,2161,9668874.31626000000,4426007.89662000000
2162,2162,9670803.03350000000,4423221.64059000000
2163,2163,9668495.20405000000,4422724.83222000000
2164,2164,9663134.71855000000,4427540.68934000000
2165,2165,9665648.81474000000,4424647.10422000000
2166,2166,9664790.60042000000,4422203.33333000000
2167,2167,9660325.20466000000,4413616.03206000000
2168,2168,9658918.16109000000,4420068.92332000000
2170,2170,9662803.84132000000,4417771.63125000000
2171,2171,9655747.37212000000,4419458.99877000000
2172,2172,9668380.84583000000,4414020.97504000000
2173,2173,9661860.07505000000,4402911.58321000000
2174,2174,9656979.91012000000,4414921.34288000000
2175,2175,9656664.69870000000,4428242.45847000000
2176,2176,9659837.97333000000,4424808.06504000000
2177,2177,9659480.26030000000,4422415.51582000000
2178,2178,9652174.11945000000,4425021.91368000000
2179,2179,9651881.06971000000,4416048.59420000000
2190,2190,9675575.00008000000,4420908.51276000000
2191,2191,9678385.45008000000,4420426.41871000000
2192,2192,9678650.77880000000,4418794.82700000000
2193,2193,9681568.59414000000,4419832.17988000000
2194,2194,9679921.37833000000,4419472.14544000000
2195,2195,9677118.79852000000,4418628.04052000000
2196,2196,9675950.79550000000,4417575.07296000000
2197,2197,9670156.41641000000,4421306.23117000000
2198,2198,9669358.59564000000,4420266.18907000000
2199,2199,9672284.82175000000,4420594.50260000000
2200,2200,9671667.20009000000,4418697.48350000000
2203,2203,9683348.58209000000,4420279.84948000000
2204,2204,9684809.86537000000,4419430.25104000000
2205,2205,9683971.58403000000,4416631.24995000000
2206,2206,9682006.99238000000,4418027.60605000000
2207,2207,9681448.79605000000,4415505.55714000000
2208,2208,9679487.21208000000,4416506.51662000000
2209,2209,9677378.21706000000,4415665.27625000000
2210,2210,9675040.28664000000,4414091.91729000000
2211,2211,9673226.67555000000,4414954.01414000000
2212,2212,9671539.23765000000,4415722.58514000000
2213,2213,9670172.92300000000,4414257.08857000000
2214,2214,9668586.40551000000,4416898.34006000000
2216,2216,9683863.70848000000,4414815.56929000000
2217,2217,9682871.01033000000,4412580.00262000000
2218,2218,9681245.64809000000,4412872.87787000000
2219,2219,9682636.24972000000,4410276.38627000000
2220,2220,9679369.94611000000,4413731.33691000000
2221,2221,9679942.34434000000,4411256.76354000000
2222,2222,9678230.86937000000,4413776.41053000000
2223,2223,9676952.26432000000,4412377.44677000000
2224,2224,9679456.54955000000,4408180.87867000000
2225,2225,9677444.20020000000,4409423.49745000000
2226,2226,9675782.68818000000,4408684.84669000000
2227,2227,9677857.59393000000,4405142.18421000000
2228,2228,9679476.92138000000,4405773.87717000000
2229,2229,9681194.32013000000,4404731.15691000000
